,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0,14.28075197007921,0.5452152931560433,0.28180811140272355,0.06954753377665698,auto,100,"{'max_features': 'auto', 'n_estimators': 100}",0.7753967094284836,0.7682818850868587,0.7356730373509437,0.7420376947177687,0.7477422162665441,0.7597141391107998,0.7514932622904146,0.7727088894920565,0.7646626096952928,0.7575233826043514,0.013211301842377456,25,0.38649849978900397,0.3932490321776433,0.36566153183573474,0.36605305493382134,0.38640149107032196,0.3848083762016365,0.39415620157584136,0.3926985832774597,0.4122993055042953,0.38686956404063977,0.013589844550425683,25
1,28.239793433083427,1.2588245906583835,0.5441507763332791,0.1267728173956554,auto,200,"{'max_features': 'auto', 'n_estimators': 200}",0.7882933104345106,0.7827703019322886,0.7531965004361789,0.7543875185134586,0.7628812182418276,0.780059466191988,0.7658571220734687,0.788175170785466,0.7799947533401506,0.7728461513277041,0.013124163787736775,22,0.40329355511868864,0.4213967698649943,0.38878374087431583,0.3844941087543508,0.4107810354860243,0.4174414250221465,0.41640571623520134,0.42166409876173777,0.4386780254657549,0.4114376083981349,0.016029281582577125,22
2,56.41516621907552,2.4195731597235595,1.0854663054148357,0.2512959967974778,auto,400,"{'max_features': 'auto', 'n_estimators': 400}",0.7928348213342478,0.7911706572295182,0.7611295574860415,0.7610500565384223,0.7728298320306519,0.7882680193183745,0.7726542383275087,0.797748040886046,0.7883624071809061,0.7806719589257463,0.013162661399955027,19,0.40981134878804953,0.4389453694982573,0.39911948310285694,0.3948229366948309,0.426003140156505,0.43606164587040075,0.4311605890000414,0.44235824515754263,0.4531955506333037,0.4257198121001987,0.019027986704851625,19
3,112.82821877797444,4.896706004225968,2.2627630763583713,0.504334517940938,auto,800,"{'max_features': 'auto', 'n_estimators': 800}",0.7973343347490897,0.7944951045697599,0.7662367304217614,0.7653603983429276,0.7796078052907425,0.7942286727212193,0.7747924481961336,0.8036019645824317,0.79491825904464,0.7856195242131895,0.013496732103900082,17,0.41605186562844193,0.44608697603482766,0.4040561462265828,0.4032804532640125,0.4383441496904281,0.44505941059692433,0.43883757838424714,0.4533721811745085,0.47010587388059877,0.4350216260978413,0.02145450448597328,14
4,142.15343896547952,6.327337917792826,2.859359555774265,0.6201744514843235,auto,1000,"{'max_features': 'auto', 'n_estimators': 1000}",0.7981801040455254,0.7957663451375764,0.7668679181250361,0.7666025714544846,0.7806173555754243,0.7964128831423368,0.7761685006210519,0.8052710312022985,0.7955577166001644,0.7868271584337665,0.013649002689934199,14,0.41580061654533357,0.4498789177860602,0.405135652724122,0.40471339381545574,0.44029066180465737,0.4493355004888372,0.443153791936211,0.45664900474346326,0.4709083842060169,0.4373184360055731,0.022133065822964936,9
5,172.26946020126343,7.588086461061831,3.4025381406148276,0.7542272441249266,auto,1200,"{'max_features': 'auto', 'n_estimators': 1200}",0.7988843125345331,0.7962734906391304,0.7675628589126752,0.7672305792743688,0.781233568577685,0.7972242828564561,0.7777755702883745,0.8062156244402078,0.7956244193585038,0.7875583007646595,0.01357923370245891,11,0.4164991371944766,0.450365992560407,0.40611327248960966,0.4065630612015424,0.4415817687383124,0.45034314073123716,0.4461147197572575,0.4584112053742908,0.4715714536632084,0.43861819463448243,0.022089466009611505,7
6,215.2219726509518,9.43611229749861,4.274782445695665,0.9407921347186556,auto,1500,"{'max_features': 'auto', 'n_estimators': 1500}",0.7992174752832013,0.7968817327547002,0.768633834330845,0.7676162874804446,0.7824188033524353,0.7974130950117042,0.7791049655996672,0.8074463317051441,0.7957826546093746,0.788279464458613,0.013466689001896112,8,0.41540740005084176,0.4519312230604712,0.40706100842410864,0.40832048682101624,0.4426802734388552,0.45203083591390414,0.44553444455054514,0.4615967021527385,0.47100019880883615,0.4395069525801463,0.02221990034102796,5
7,259.1122937732273,11.125464184513218,5.141751633750068,1.1982066818851598,auto,1800,"{'max_features': 'auto', 'n_estimators': 1800}",0.7995950449046894,0.7972142190495113,0.7690246562188812,0.7682580270883143,0.782614039155132,0.7975438429676787,0.7799729521711787,0.807676134945317,0.7962673858266663,0.788685144703041,0.013353976603611402,6,0.41676475424005816,0.45188456242295316,0.40863354743765484,0.40927824263200807,0.4424294714613877,0.4518565368954206,0.44711295821948793,0.46265209148628716,0.4718004323263406,0.4402680663468443,0.021933262851326542,3
8,287.1770719687144,12.446248204632035,5.649147828420003,1.2648669564815216,auto,2000,"{'max_features': 'auto', 'n_estimators': 2000}",0.7995698019327444,0.7976320979181638,0.7696188204895296,0.7687551030480251,0.7828542475989324,0.7981525676454345,0.7802598953754313,0.8080640244290164,0.7968800419732789,0.7890874000456174,0.013312952486316445,3,0.41637219424724603,0.452767266386931,0.4090041846868341,0.4104211049548394,0.4443177962318893,0.45298042699223157,0.4475941070055541,0.463067203831839,0.4724337104323988,0.4409953327521959,0.02205261003590626,1
9,14.38911771774292,0.6225554323334362,0.2846134238772922,0.059435474517170246,sqrt,100,"{'max_features': 'sqrt', 'n_estimators': 100}",0.7753967094284836,0.7682818850868587,0.7356730373509437,0.7420376947177687,0.7477422162665441,0.7597141391107998,0.7514932622904146,0.7727088894920565,0.7646626096952928,0.7575233826043514,0.013211301842377456,25,0.38649849978900397,0.3932490321776433,0.36566153183573474,0.36605305493382134,0.38640149107032196,0.3848083762016365,0.39415620157584136,0.3926985832774597,0.4122993055042953,0.38686956404063977,0.013589844550425683,25
