,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
22,2.833906438615587,0.17373933216768378,0.021604379018147785,0.007364616055450709,0.01,0.30000000000000004,"{'C': 0.01, 'l1_ratio': 0.30000000000000004}",0.7219077044293373,0.742715099114016,0.6993418614895383,0.7004232528339255,0.7272003037987416,0.739626139083388,0.7006866769497434,0.7408944213169621,0.7204099746689926,0.7214672704094051,0.016855681260962457,3,0.3013206838920507,0.32678192777713716,0.3008756578881665,0.31409303564306834,0.3425003504108735,0.3497626166661508,0.3024226219118105,0.3455003839402409,0.3397309482984292,0.32477646960310314,0.01923779661867544,63
23,2.852990256415473,0.1456883499592282,0.021443737877739802,0.007472658315141076,0.01,0.4,"{'C': 0.01, 'l1_ratio': 0.4}",0.7219942199895721,0.7422540712427289,0.699355392181994,0.7005224022493259,0.7271816306774609,0.7394922502068724,0.7006435005428339,0.74071109105397,0.7204758753901577,0.7214033815038794,0.01674131744488451,13,0.3012159258844308,0.32605726842138827,0.3007938530660814,0.31392324359637463,0.34215953841492286,0.34935806096018557,0.3021394513758273,0.34510302406086313,0.3394150520093521,0.3244628241988251,0.019134407449132095,64
24,2.792931238810221,0.16444391804970743,0.021652327643500432,0.0076713983951696395,0.01,0.5,"{'C': 0.01, 'l1_ratio': 0.5}",0.7220960814975096,0.7417824156845184,0.699305390945534,0.7005617150294456,0.7270928871307806,0.7393348615339457,0.7005463536272875,0.7404772545843467,0.7205634979514635,0.7213067175538702,0.01663944150089558,65,0.30120654816895265,0.3253163279608146,0.30063474674099877,0.3137898389635913,0.34164152412008186,0.3488344423942058,0.30175430573849266,0.3446661403229015,0.33924381700120526,0.32412085460124934,0.01901353988173423,65
25,2.720987743801541,0.12753271660378743,0.02101535267300076,0.007430808127714397,0.01,0.6,"{'C': 0.01, 'l1_ratio': 0.6}",0.7222141044382927,0.7412242246308282,0.6992464329133994,0.7005562887583868,0.726952653838787,0.73911125654525,0.7004262888001026,0.7401838643933788,0.7206105507990295,0.7211695183463839,0.016520355495407882,66,0.30113310150771094,0.32446776457825355,0.3004740478015212,0.3135732611160384,0.3411879600068812,0.34831335086256215,0.30146455797708904,0.3441251629687312,0.339033491418276,0.3237525220263404,0.018886177038315244,66
26,2.7650915251837835,0.12939377781985667,0.0213520261976454,0.006831714519097189,0.01,0.7000000000000001,"{'C': 0.01, 'l1_ratio': 0.7000000000000001}",0.7223093679300681,0.7406377722420789,0.6991138602743896,0.7004977810058144,0.7267637964785081,0.738820350195508,0.7002901892565836,0.7398134613211478,0.7206080778510751,0.7209838507283526,0.016399460402400916,67,0.30102308622836904,0.32362844124285417,0.3002784885583828,0.3133199681883073,0.34052904579561905,0.34767461015739304,0.3011087144765422,0.34351390491461664,0.33876292974093464,0.3233154654781132,0.018729289518573063,67
27,2.7969043254852295,0.18989770654906066,0.022228929731580947,0.007683057082925457,0.01,0.8,"{'C': 0.01, 'l1_ratio': 0.8}",0.722340282230512,0.7399757089075363,0.6989575837922811,0.7004133969538391,0.7265004315154957,0.7384684814334478,0.7000690666074295,0.7393684616717845,0.7205945100555411,0.7207431025742075,0.016268673459148217,68,0.30088201360733513,0.32270359205716337,0.3000300208354485,0.3129464819165123,0.3397985401524169,0.34696209768323133,0.3006664744050953,0.3428736380398399,0.338664761079925,0.32283640219744086,0.018598838497191936,68
28,3.190041330125597,0.29194962617575054,0.021532244152492948,0.00707612580176841,0.01,0.9,"{'C': 0.01, 'l1_ratio': 0.9}",0.7223276792782927,0.7392477717258343,0.6987379965367058,0.70026334394803,0.726226528256315,0.7380465130356769,0.6998021863531266,0.7388397452597744,0.720537899598313,0.7204477404435632,0.01613595793904108,69,0.30068889257940445,0.3217764263979848,0.2997557572131438,0.3124890801476432,0.33912178694877226,0.3461824243740838,0.3001863107400314,0.3420335215628811,0.3381430656145513,0.3222641406198329,0.01842272785793214,69
29,2.8463086816999645,0.1429818010801754,0.021186113357543945,0.006879697171814572,0.01,1.0,"{'C': 0.01, 'l1_ratio': 1.0}",0.7222883135863607,0.738496026150522,0.6984719867419319,0.7000450749631965,0.7258758063645393,0.7375696356360849,0.6995170812748929,0.7382337071155978,0.7204176608585808,0.7201016991879673,0.016001077526420607,70,0.3004141930736991,0.32084665524455097,0.29943904529134546,0.31205061995407346,0.3384417646481476,0.3453107617685839,0.2997388261862385,0.34115990374965693,0.33797934691431064,0.32170901298117843,0.01827635564964215,70
30,9.761954254574245,0.4357602213443109,0.022680944866604276,0.008465819369807542,0.1,0.1,"{'C': 0.1, 'l1_ratio': 0.1}",0.7211860742122618,0.7438710530277345,0.6990040766991221,0.6998054331148047,0.7270910383068915,0.7398423486319007,0.7006070508949718,0.7412594830853261,0.7199397803754871,0.7214007042609444,0.017237822966873925,14,0.3008710987884089,0.32874331651960875,0.3008926077881016,0.31410431240705594,0.34360633454658446,0.35100776378087095,0.30289221814119066,0.3461822261251406,0.33962661471790556,0.32532516586831856,0.019633093112930815,49
31,10.08209122551812,0.4277701074006661,0.021010849210951064,0.007233169247151854,0.1,0.2,"{'C': 0.1, 'l1_ratio': 0.2}",0.72121758159281,0.7438441572613864,0.6990162000387223,0.6998327121237329,0.7270996353379762,0.7398462605056654,0.7006219123393791,0.7412473470615744,0.7199585614126549,0.721409374185989,0.01722539893058448,12,0.30090286717726134,0.32869919958450966,0.3009053281019035,0.31413759213995207,0.3435815690902697,0.3509609491401994,0.3028730065679589,0.3461536552872559,0.3396279582557971,0.3253157917050119,0.01961379109434248,52
