,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0,2.1082424057854547,0.1361851934409774,0.023563358518812392,0.008194792241745241,1e-05,{'C': 1e-05},0.7234512695361514,0.7296536125125754,0.6949874313337463,0.7013537660369843,0.7218463871392852,0.7283061186845369,0.6911245107456064,0.7385594539806701,0.7191829914649878,0.7164961712705048,0.015702930561976147,11,0.298527212508372,0.30624940464341716,0.29451505981210646,0.31087068779871985,0.3284727957217829,0.33037749074435624,0.2900461415389821,0.33919508936184845,0.3341468765775752,0.31471119541190673,0.01756430312352669,11
1,2.383294423421224,0.19210392466236123,0.02367242177327474,0.008139730996506537,0.0001,{'C': 0.0001},0.723624078251582,0.735593539541927,0.6973079953525188,0.7018094620656956,0.7246892311924693,0.7330538485128312,0.6958087598046423,0.7398111358555188,0.7202267091746368,0.7191027510835357,0.015864040807277147,10,0.30075738872135616,0.314782870647217,0.2977664583358854,0.3127438274998756,0.33462032640656375,0.3381994593663917,0.2957092292542364,0.3425528066384837,0.3371814800907731,0.31936820521786474,0.017887719605716654,10
2,2.575302998224894,0.1772129694292335,0.023189067840576172,0.007814695764614394,0.001,{'C': 0.001},0.722294244387405,0.742580204674407,0.6992356264539714,0.7008734856781695,0.727080869775501,0.7387720942344692,0.7001878017264307,0.7412715827736773,0.7205132369551995,0.7214232385176923,0.016805020987231,2,0.30171789826928425,0.3259457747344881,0.3008439991000872,0.31413010250586826,0.34207380199166465,0.3484062093225664,0.30167015832500343,0.34594679766232683,0.3397818019226724,0.32450183820377343,0.019100032511754444,9
3,2.5547072887420654,0.15857414155898844,0.023996671040852863,0.007891570091911592,0.01,{'C': 0.01},0.7213261893869354,0.7437883767481765,0.699052228271829,0.6999403516231029,0.727109896310561,0.7397657101707005,0.7005946142125469,0.7412863349462617,0.7200071514981385,0.7214300947964725,0.0171960873071908,1,0.30099528573270506,0.3285156540980849,0.3009089279947753,0.31416559845165615,0.3434771715449871,0.35077479136722367,0.30282294789778885,0.34625189143559576,0.3396954394965164,0.3252897453354815,0.019581058808864047,8
4,9.162000947528416,0.42870695548742077,0.023894972271389432,0.008094749419896904,0.1,{'C': 0.1},0.7211603493627318,0.7438883601268305,0.6989876910908734,0.6997867549300717,0.727091962718836,0.7398433480157091,0.7005862448728017,0.7412649152276939,0.7199262794163843,0.7213928784179925,0.017249096297547718,3,0.30084790962035796,0.3287820115799003,0.3008808800234005,0.3140664105675445,0.3436252883344264,0.35105888543100483,0.3029168110414118,0.34617497868703484,0.3396067951577131,0.3253288856047549,0.019644906643125654,7
5,33.204634216096665,1.4811577872388006,0.025553279452853732,0.00848716882531447,1.0,{'C': 1.0},0.7211424828245856,0.7439014517746886,0.6989779803561689,0.6997705868571211,0.7270892819241966,0.7398522282546933,0.700592580541207,0.7412600281163328,0.7199173233346032,0.7213893271092886,0.01725424104859984,4,0.3008437490680479,0.32881606291932625,0.30087466139609426,0.31405283268489426,0.3436517226651538,0.3510918748717752,0.30293165676272577,0.3461568349526946,0.3396155629789575,0.3253372175888522,0.01965210365131259,2
6,3.202946768866645,0.18890297997978125,0.023315138287014432,0.007866578094911552,10.0,{'C': 10.0},0.7211407777192852,0.7439026689120178,0.6989776385704753,0.6997689626671444,0.7270901138949468,0.7398531134232094,0.7005925023230785,0.7412597919362298,0.7199149172230799,0.7213889429632742,0.01725483452231038,9,0.30083900542989306,0.3288188949030366,0.30087325059895786,0.314045943562957,0.34365635485168433,0.3510921090160509,0.3029324160602485,0.3461546476305898,0.3396081672982245,0.32533564326129366,0.01965301434831841,6
7,2.8887081146240234,0.12006004983410642,0.024331755108303495,0.008103493606554324,100.0,{'C': 100.0},0.721141815609468,0.7439027579708467,0.6989768946839658,0.6997696640219072,0.7270904836597247,0.7398524852391012,0.7005921112324361,0.7412599372778317,0.719915251405236,0.7213890445667241,0.01725486217992129,8,0.30084034492305417,0.328816334771545,0.3008725380060655,0.3140473805086591,0.34365551545463946,0.35109255379925586,0.3029325521210507,0.34616483417083244,0.3396141556005142,0.3253373565950685,0.019654428342393705,1
8,2.935196532143487,0.10407598971155577,0.024510754479302302,0.008252510405410076,1000.0,{'C': 1000.0},0.721141963879494,0.7439029064022284,0.6989770555242923,0.6997695532816813,0.7270903912185303,0.7398525709005704,0.7005923458868215,0.741259719265429,0.7199152514052359,0.7213890841960314,0.017254823137102304,7,0.30084060220077613,0.32881665820455186,0.3008726510430683,0.314047304838485,0.3436554546982735,0.3510925468455068,0.3029326809515129,0.3461550052791425,0.3396147066319698,0.325336401188143,0.019653252058286268,3
9,2.889159679412842,0.12139256892874635,0.024200439453125,0.008830832850814587,10000.0,{'C': 10000.0},0.721141963879494,0.7439029360885048,0.6989770555242923,0.6997695532816813,0.7270903912185303,0.7398525423467474,0.7005923458868215,0.741259719265429,0.719915251405236,0.7213890843218596,0.01725482404602214,5,0.30084060220077613,0.32881666698916234,0.3008726510430683,0.314047304838485,0.3436554546982735,0.35109223091455305,0.3029326809515129,0.3461550052791425,0.3396147662297257,0.3253363736827443,0.01965321103824297,4
10,2.861279355155097,0.13703308508745687,0.02433217896355523,0.00771006350816342,100000.0,{'C': 100000.0},0.721141963879494,0.7439029360885048,0.6989770555242923,0.6997695532816813,0.7270903912185303,0.7398525423467474,0.7005923458868215,0.741259719265429,0.719915251405236,0.7213890843218596,0.01725482404602214,5,0.30084060220077613,0.32881666698916234,0.3008726510430683,0.314047304838485,0.3436554546982735,0.35109223091455305,0.3029326809515129,0.3461550052791425,0.3396147662297257,0.3253363736827443,0.01965321103824297,4
