,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0,30.903727584415012,1.3838721130578708,0.036520030763414174,0.008523913503870138,2,auto,100,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 100}",0.7480515650531403,0.7396957079492634,0.7108470917153761,0.7163313631047602,0.7310641608447201,0.7483519589921415,0.720546885510561,0.7485874431396402,0.7431508698761522,0.7340696717984172,0.014024573111303857,77,0.3238578712545428,0.3380360528194516,0.3220751398102353,0.3288097606294208,0.3485261195552243,0.36812583845963975,0.33090665922597085,0.3636887268365788,0.36790646188941944,0.34354807005338706,0.017901027324668372,77
1,61.73914941151937,2.6970514901404177,0.05531213018629286,0.014965353547922455,2,auto,200,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 200}",0.7618578026693498,0.7633794785718371,0.728968337978603,0.7300664917537105,0.749947585842742,0.7677431743513571,0.7403418601522438,0.7655310218931689,0.7560380031947814,0.7515415284897549,0.014234853435126328,73,0.3476370295331667,0.3715355228141244,0.3426790399352225,0.3493095291219542,0.37469348156471055,0.39610581605723016,0.35654149372283495,0.38850850062093356,0.39166424936445143,0.36874162919273645,0.0193198727187473,73
2,123.22637685139973,5.455516935425727,0.08542394638061523,0.024335183029811518,2,auto,400,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 400}",0.7744998240405464,0.7818478454249842,0.7439428136240602,0.7409262319859337,0.7644953339382686,0.7820219418998228,0.7540548277793246,0.7821573744330315,0.7678826886959544,0.7657587646468808,0.015291064286030009,68,0.3676816486939878,0.4011153738869039,0.36205219158468593,0.3672134462972151,0.4028754836677825,0.4199587071047532,0.37924203246283905,0.41401881691802483,0.4139767284557231,0.39201493656354613,0.021644221175168763,68
3,246.75376505321927,10.937314151950748,0.14858900176154244,0.043057132993829225,2,auto,800,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 800}",0.7844757279372532,0.7935312950795382,0.7549800688678067,0.7496376487531923,0.7747786772922274,0.7936425198406241,0.7662976856820152,0.7937465685756196,0.7750859182323101,0.7762417900289541,0.015769627832665403,64,0.38759343330976287,0.42170680023271123,0.3779306747579696,0.38071819575298255,0.42348785870528277,0.4383215988854982,0.3996382182847388,0.43149197250027205,0.42722814015033983,0.4097907658421731,0.022047147925320972,64
4,309.06218716833325,13.689226479273245,0.1805590788523356,0.05266313765461724,2,auto,1000,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 1000}",0.788408961054876,0.7983080841163015,0.7601868723331922,0.7517623845500848,0.7784933342503499,0.795983076720125,0.770044568689596,0.7959034561142851,0.7785410943797245,0.7797368702453927,0.015659871244494385,60,0.3947277558827311,0.43098369065115955,0.38632068811401044,0.3840791033133534,0.4319359528745775,0.44321226797048774,0.4070542301723493,0.43531498849635286,0.433039210262377,0.41629643197082206,0.02189349496059715,60
5,371.54614628685846,16.096478210529845,0.21153110928005642,0.06174281224141992,2,auto,1200,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 1200}",0.7921443278226553,0.805164515554555,0.7680948282396207,0.7537904441299504,0.7852868376311093,0.8013962248419402,0.7831723864976737,0.8054478755963094,0.7824820377091146,0.7863310531136587,0.016323940777027566,58,0.40247395542732745,0.44406060032078054,0.39901024927849066,0.38680539143954684,0.4452657209875682,0.45443452052771577,0.4265705619916611,0.4531727902912056,0.4400425946856429,0.42798182054999323,0.024093673740171954,57
6,462.94299697875977,20.331593060395633,0.258433288998074,0.07636752472998673,2,auto,1500,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 1500}",0.8095965995159131,0.8177720693047495,0.7793312138599325,0.7685346930854947,0.7953535912664518,0.8159853438936793,0.799232132632916,0.8208948718759277,0.7979044773725262,0.8005116658675101,0.01680458287801024,49,0.4311181539839288,0.46629772287524296,0.41790696189952237,0.41021210468161734,0.4659406022873956,0.4843965865408878,0.45977329723089044,0.482323028522968,0.4640470810707233,0.45355728212146407,0.02559543198973435,50
7,555.539227326711,24.55068229827207,0.3031305736965603,0.08935071103150219,2,auto,1800,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 1800}",0.8183809313477902,0.8256088306459981,0.7912608413919362,0.7795363653736429,0.8023028580598738,0.8250032408589218,0.8063702408179739,0.8263615510419722,0.8061347155107306,0.8089955083387601,0.015506782858619905,45,0.4476735143692129,0.4864616927774061,0.43733132540869774,0.4286518531954376,0.476431049816238,0.5021399852045213,0.4745115916758406,0.4934098708321197,0.4795078668910172,0.4695687500189435,0.024216179485480747,45
8,617.4264852205912,27.18785908272958,0.3339862823486328,0.09825865296916611,2,auto,2000,"{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 2000}",0.8213962247337682,0.8287099778157425,0.794605495873742,0.7831607822202287,0.8062662742722844,0.829305131293334,0.8123722306871619,0.8309651372733261,0.8090723771713485,0.8128726257045485,0.01561928123229971,44,0.45481745735986545,0.49273739896800933,0.4436447885193938,0.43578988435973576,0.48272368500273455,0.5101346385223215,0.4869801995845828,0.5033895470508295,0.4856500758654315,0.47731863058143387,0.02483537394081719,44
9,3.984648095236884,0.1630270662174718,0.03318362765842014,0.009086176101022704,2,sqrt,100,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 100}",0.7275323278698053,0.7234856651947915,0.6945888991625647,0.7005164038204343,0.7103724936418946,0.7293479620279839,0.6967318901567178,0.733403860345615,0.7236891704930524,0.7155187414125399,0.014252629167282123,80,0.2995035690581688,0.3131793115777701,0.29990220420276936,0.3089972673353786,0.32074154480390005,0.3366356662094492,0.3007453595853787,0.3337022112962795,0.34062253439917234,0.3171144076075852,0.015555431986872521,80
