gene name
CCT4
CWC22
DDX10
INTS4
CEP63
MED9
MED12
NUPL1
SF3B4
NDC80
ATP1A1
SLC39A9
TRPM7
SLC7A6OS
MRPS5
HSPE1
EIF3C
NSMCE1
ATF5
ZMAT5
RPF1
EIF2S2
RIOK2
MRPS11
POLR2B
CXXC1
PCNA
ANAPC2
HINFP
NUP160
MRPL33
IPO13
RPL36A
RBM25
SART1
WDR36
RPL35
RPS18
MRPL41
GPN2
FCF1
ARID3A
RPS26
OGDH
RPTOR
PSMB2
XRCC5
TAF8
POLR2G
RPL27A
RPS11
NCBP2
DYNC1H1
PSMC4
RPLP1
ARGLU1
GEMIN8
PDCD11
KIF11
TBCD
GFM1
MAD2L1
MRPS9
CRNKL1
NHP2
POLR2D
SMN1
PSMB7
EIF3CL
MRP63
EXOSC3
RPL19
ERAL1
TTK
PLRG1
PES1
NUDC
MYBL2
MRPS33
NIP7
UBA3
GLE1
REXO2
ECT2
ISCA2
YAE1D1
STAT5B
GNE
PSMD1
PPAN
SNRNP35
RBM22
RPL12
ARCN1
ZC3H8
SMC1A
POLR1B
AQR
LARS2
NVL
NAA38
ZNF574
SSBP1
CENPP
SLC7A1
WDR12
WDR61
NOL11
VPS4A
RPS6
POLN
MED22
UTP20
FAU
RRM2
PRKAB2
INO80B
HNRNPM
RPL14
CENPK
USP39
RPL7
RAD51C
PSMA4
SLMO2
CDC20
CCDC174
SRRT
MCM6
PRIM2
RPS15A
MZT1
FTSJ3
PAM16
PSMA3
TAF7
DMAP1
RBM4
MIS12
WDR46
MRPS10
KCTD10
GTF3C3
PAK1IP1
MVD
SRFBP1
UMPS
RUVBL1
YTHDC1
POLR2I
SKA3
PHAX
ORAOV1
CWC15
RAN
MIS18BP1
GNL3L
GLMN
METTL16
BIRC5
CSE1L
BOP1
SNRPE
HNRNPK
UTP11L
LTV1
EIF3D
COPB2
POLD2
MFAP1
EIF5B
DDX23
SRPRB
PSMB3
MBTPS2
RPS24
WDR7
PSMA2
COX11
CDK1
XPO1
CCT7
SF3B3
CASP8AP2
RBMX
SCFD1
TBCB
MRPS35
MRPL3
MCM10
C14orf166
PAPOLA
WBP11
DNAJC19
TAMM41
INTS2
MRPS18A
EXOSC2
DDX18
INTS8
CENPJ
RPL18A
HARS
GINS2
MRPS25
RPS8
C3orf17
TPX2
ASCC3
SON
GBF1
POLA1
RFC4
CSRP2BP
BRF1
SUPV3L1
TCERG1
DTL
POLR2A
TMEM261
POLR3F
SF3A2
CPSF3L
IGBP1
EXOSC8
TXN
POLR1E
POLE
NUP107
RAD51
NUP54
HNRNPL
TIMELESS
DCAF13
NAPA
HNRNPU
RPL10
SNRPD3
SEC61A1
GTF2H4
DCTN3
PLK1
FAM50A
ERH
SMU1
SLU7
VPS54
EFTUD2
MRPS2
WDR75
RNASEK
RBM8A
WDR77
RNF113A
RPP21
DDX46
SLC35A1
DDX21
SPDL1
PSMD2
UXT
DMXL1
NUP85
MRPL21
TBL3
COPS2
RPL13A
DERL2
CPSF2
MNAT1
CDC40
TMA16
FH
WDR60
UTP15
PRMT5
ERCC2
TAF6
DHX30
DLD
GIT2
DNTTIP2
ZBTB48
MRPL43
NUDT21
PIAS4
BDP1
HAUS7
PRPF31
GEMIN2
GTF3C4
GART
CCT2
ANAPC1
THOC7
CDC6
CCNH
EIF4G1
PSMD14
RUVBL2
PRUNE
EIF4A3
TUBGCP5
TIPIN
MTHFD1
C12orf60
ELP4
GTF2E1
DSN1
SARS
ESF1
LSM2
RPL21
SNRNP48
NUP62
PRIM1
RPL35A
EXOC4
GUCD1
TSTA3
PPIE
ATR
NPAT
MED18
CTNNBL1
TTI1
EIF3B
DDX51
COPB1
NDUFA9
POLR2F
RPL23
RAD9B
NOP14
COPS8
HNRNPC
DNAJA3
CENPA
MRPL48
FBL
RPL37
KRR1
RPA3
TOP2A
GNL2
C15orf41
RANGAP1
EEF1G
BUB1B
RPS7
IK
TARS
CTR9
DHX29
RPS23
RPS19
SNRPB
RPL3
RRS1
EIF2B2
MRPL10
NDUFAF5
MRPL13
DCTN6
RARS
PITRM1
RPL10A
SRCAP
BMS1
ATIC
EIF2B4
RPL18
ZCCHC9
PRPF38A
ATXN10
PSMD8
RPL36A-HNRNPH2
NDNL2
TEX10
SRSF1
RBM14
NEDD1
DDX56
RPAP2
RPL36
POLR2C
COG2
RBBP8
NDUFA8
CENPI
WDR3
SHFM1
MRPL51
AURKB
ALYREF
HJURP
RPS14
SURF6
MRPL44
MED19
NUTF2
TRMT10C
THOC2
DAP3
MED30
INCENP
RPS4X
PRPF18
PRPF6
EXOSC6
TSEN2
SSU72
GNL3
BET1
DIS3
MRPS17
CSTF3
ATP6V1A
MRPL39
PNISR
HSPE1-MOB4
SPC25
RPS16
RPL23A
PET112
TRMT5
MED1
SAP18
RPS3A
MRPS28
PSMA6
MED28
DDX24
SNRPG
PPCS
ETF1
DONSON
CDC27
C17orf49
PMF1-BGLAP
NHP2L1
FARSB
NBAS
MED11
MRPL42
GINS1
TOP1
DARS
AP2M1
LAS1L
EIF3A
WDR43
C12orf45
RPL9
KANSL2
UQCRFS1
MED10
SOD1
GAB2
EXOSC9
NMD3
TUBGCP2
TXNL4A
TIMM23B
HSPA9
RPL17
SF3B2
PTCD3
DBR1
METTL17
GTF2H3
SUPT5H
SMC2
CMTR2
CDC26
PTBP1
TIMM10
DYNLRB1
NARS
GATA1
UQCRB
HAUS3
C1orf131
VARS2
DDX20
NXF1
RPA2
TUBA1B
LSM7
RIBC1
PCF11
PSMD11
TIMM9
EFR3A
UTP6
SCO1
NCAPH
ZNF830
POLR3B
CENPE
RPL8
MRPL55
ATP6AP1
GTF3C6
RPS15
TEFM
MRPL22
SNRNP27
TAF1B
MRPL37
RNPC3
VPS29
MDN1
TARS2
MED21
EIF3H
KARS
RBBP4
MTOR
WDR55
SNRNP25
VARS
HEATR1
KIF23
CENPM
EPRS
GFER
ASNA1
DICER1
POLRMT
HSD17B12
PFDN2
HAUS1
GPN3
SRP19
BGLAP
SCYL1
RPLP2
MIPEP
SMNDC1
NAPG
RPL38
POLG2
MTERFD1
MED31
ABCB7
COPS4
IMMT
RSL24D1
RPL27
COQ2
NKAP
NUBP1
OXA1L
POLD3
NOP58
TAF1C
ANAPC5
MRPL32
RABGGTB
CINP
SEH1L
ATP6V1C1
RRP9
CSTF1
SAE1
MINOS1-NBL1
UBL5
EXOSC4
PRPF8
NCL
PPWD1
CARS
EXOSC5
TANGO6
NEDD8
GAR1
ATP5O
AARS
CDC23
NEDD8-MDP1
PWP2
PDRG1
TUBGCP4
HAUS4
ATP5I
MAK16
RPS19BP1
TPRKB
RPS5
CCDC84
ABCE1
SUPT6H
PHF5A
PNO1
TAF2
U2AF1
MKI67IP
RBM17
RPL31
SEC22B
BCR
EXOSC10
PNPT1
EP400
PSMD6
PGK1
MRPL17
DDX27
CDC5L
RIOK1
FDPS
ANAPC13
MRPS31
ADSL
EIF3G
BRIX1
BCAS2
DDX39B
CHEK1
CWF19L2
POT1
CTDNEP1
MED27
ACTR6
CDAN1
TUBG1
RPL30
DDX41
NOP16
VPS13D
MRPL18
SEC13
NOP10
CDC73
COX10
RNF20
MTPAP
PSMD12
HAUS6
NSRP1
CLSPN
CCT8
CDC16
ACTL6A
RILPL2
RPL26
WDR5
ORC5
RPL6
PSMD7
HAUS5
EIF4G2
MED17
PPP2R1A
GFI1B
BNIP1
USP5
CENPC
NUDCD3
RACGAP1
SF3B5
NUTM1
NCAPD2
PSMC1
DHX16
ATP5E
SDHC
PPAN-P2RY11
CHD4
SSRP1
WDR33
TFB1M
NUP88
NOL8
SF3A1
AARS2
CEP192
CCT5
FIP1L1
EFTUD1
HCCS
LIAS
GOLT1B
RRN3
RPS27
TWISTNB
MRPS27
XRN2
RPA1
RPS17
SAMM50
ANAPC4
DIMT1
YY1
TCP1
NUP93
TIMM23
PPCDC
RPL37A
EIF2B3
EIF3I
ZBTB14
TICRR
TTC27
CIT
BORA
MIS18A
EIF3F
UBA2
NOL6
POLR1A
GTF2B
NUP133
THOC5
CMAS
TAF1A
ATP6V1B2
EIF3M
RPL39
TOMM22
RCL1
MCM3
HBS1L
POP5
RPP30
ESPL1
EEF2
PHB2
RFC2
EIF4E
ATP5F1
RPL32
POLR2H
NUP205
THOP1
MMS22L
HMGCS1
ATP5B
RPS10-NUDT3
POP4
IMP3
RCC1
MRPL46
MRPL16
ZNF207
RPAP3
TSR2
TACC3
C12orf66
DDX52
EIF2S1
CEP152
RAB1B
RBMX2
PRPF3
CAD
MYBBP1A
QARS
MRPL34
NDUFAB1
NSMCE4A
C10orf2
LONP1
VPS72
GEMIN5
RPS20
RPL28
NUF2
SNRPD2
SGOL1
PTTG1
CLNS1A
CHMP6
BUD13
CAMLG
SMYD4
SMN2
UBA52
MRPL36
RPL15
RPS29
MRPL27
PAXBP1
PELO
NOC4L
MRPS23
DDB1
POLR1C
SPC24
RPS27A
ZMAT2
PSMB6
TFAM
SPCS3
LEO1
SYMPK
TREX2
MRPL19
MRPL50
ICT1
LRPPRC
CHCHD4
CCDC86
KPNB1
UTP3
EIF1AX
SNRPD1
DDX54
RPF2
ZNRD1
NACA
RRM1
DHX8
COPA
PSMB5
RPS10
SFPQ
PMF1
TIMM44
TFIP11
CDT1
LIN52
POLR3A
NUP98
MRPS14
PABPN1
ZC3H13
IMPDH2
PRPF4
C14orf178
PRPF19
CDK17
PUF60
NGDN
RRP12
CEBPG
ZNF236
DUT
CHAF1B
RBM14-RBM4
DIEXF
C9orf114
CCT3
COG8
EMG1
RPL7A
CARF
PSMC6
IMP4
MSANTD3
RPL5
CDCA8
DKC1
RPL4
NLE1
MRPL24
SRSF3
FARSA
KANSL3
C1QTNF9B-AS1
MED6
MINOS1
LSM4
RINT1
SF3B1
RPL11
CCT6A
CD3EAP
DDX49
SRBD1
U2AF2
RPSA
SLC25A10
RARS2
ZNHIT6
EIF6
NMNAT1
IARS2
MCM4
LUC7L3
AATF
RPS9
INTS3
MCM2
FAM98B
SIRT7
RPL24
TRRAP
COG3
TBCE
PSPH
RPL7L1
PSMA1
INTS5
SNRNP200
GEMIN4
RBM28
LSM6
MED7
PHB
CLTC
DHODH
DDX47
PSMC2
POLR1D
PAF1
NOP2
EIF3E
PSMA5
PARS2
CNOT3
RRP15
SDAD1
RPS13
MRPL35
CHMP3
PSMD4
UTP14A
RPLP0
MED14
RPL13
DNM2
NOC3L
CHMP2A
EIF2B5
UBA1
MRPS12
COPS6
PET117
RPAP1
GNPAT
SMC3
SNW1
COPZ1
BUB3
RTCB
TUBGCP3
AFG3L2
CTDP1
HSPA5
NUP155
INTS9
RPL34
RPN2
PSMB1
TSG101
CHAF1A
RTF1
POLR2M
TRAPPC11
RPP40
SNRPF
VCP
RPS3
CENPT
NRDE2
C14orf2
SUPT16H
WDR70
TUBB
HSD17B10
DHX15
TTC1
TTC4
SMC4
ATP5C1
DYNC1I2
RFC3
THG1L
C19orf70
SAMD4B
NDUFA2
CACTIN
ILF2
MRPS21
CPSF1
CEBPZ
NOL10
CNOT1
CHERP
XAB2
