gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
RPS14,0.03,0.08,0.24,1.05,1.36,1.54,1.82,24.463806970509385,25.201072386058982,28.68632707774799,31.702412868632706,96.51474530831099,98.79356568364611
CDC5L,0.43,0.78,0.98,1.32,1.92,2.48,3.21,5.233151803948264,5.4458815520762425,6.611640571817563,9.113342409802586,82.13921034717495,90.28250510551395
POLR2I,0.12600000000000003,0.32000000000000006,0.78,1.06,1.2760000000000002,1.44,1.5939999999999999,11.884753901560623,12.004801920768307,15.006002400960384,18.607442977190875,98.91956782713085,99.27971188475391
RPS7,0.01,0.02,0.06,0.685,1.2180000000000006,1.4900000000000002,1.8144999999999993,41.41104294478528,42.561349693251536,47.3159509202454,52.6840490797546,97.23926380368098,99.23312883435582
XAB2,0.07,0.16,0.5,1.02,1.27,1.41,1.53,18.796116504854368,19.281553398058254,22.446601941747574,26.854368932038835,99.22330097087378,99.76699029126213
RPS19BP1,0.6795000000000001,0.83,0.97,1.18,1.4099999999999997,1.54,1.68,2.727272727272727,2.9545454545454546,4.431818181818182,7.1022727272727275,98.29545454545455,99.6590909090909
RPL23A,0.01,0.02,0.08000000000000002,0.8,1.2,1.4,1.57,36.46739130434783,37.22826086956522,42.119565217391305,47.55434782608695,98.15217391304348,99.02173913043478
SUPT6H,0.28,0.6,0.88,1.17,1.47,1.71,2.02,7.318050657261943,7.766912471946137,10.179544725873678,13.457839050977878,94.77396601474831,97.523244629689
PRPF31,0.09,0.25,0.6640000000000004,1.05,1.36,1.56,1.8439999999999985,14.458116422148604,15.120681495504023,17.865593942262187,23.473734027449126,96.26123994320871,98.10695693327023
U2AF1,0.04,0.11000000000000001,0.2680000000000001,0.99,1.54,1.85,2.3229999999999995,26.857142857142858,28.114285714285714,31.6,37.08571428571429,91.42857142857143,96.68571428571428
PSMD7,0.15400000000000008,0.33000000000000007,0.7,1.13,1.56,1.9320000000000004,2.55,13.121460037759597,13.81371932032725,16.865953429830082,21.900566393958464,91.00062932662051,94.7765890497168
Hsp10,0.02,0.05,0.46,1.07,1.48,1.9649999999999999,2.7675,19.839142091152816,20.576407506702413,22.654155495978554,25.469168900804288,90.3485254691689,93.5656836461126
