gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
CTCFL,0.4,0.65,0.88,1.2,1.64,2.08,2.67,5.769230769230769,6.300229621125143,8.912169919632607,13.475889781859932,89.02123995407578,94.17336394948335
SAGE1,0.87,0.95,1.06,1.29,1.67,2.07,2.7790000000000004,0.0,0.0,0.1340931947703654,1.1565538048944015,89.00435802883004,93.78142809252431
TLX1,0.8500000000000001,0.91,1.0,1.18,1.43,1.62,1.84,0.15090543259557343,0.15090543259557343,0.2515090543259557,1.408450704225352,96.579476861167,98.59154929577464
DTX2,0.82,0.9,0.98,1.17,1.4,1.58,1.75,0.10948905109489052,0.18248175182481752,0.7664233576642335,2.664233576642336,97.73722627737226,99.30656934306569
OR2C3,0.86,0.9419999999999998,1.04,1.26,1.62,2.02,2.569000000000001,0.6708907938874394,0.6708907938874394,0.8945210585165859,1.6772269847185985,89.73164368244502,94.59560193812897
