gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
RPS14,0.03,0.08,0.24,1.05,1.37,1.55,1.85,24.20424403183024,24.93368700265252,28.381962864721487,31.56498673740053,96.0212201591512,98.6737400530504
CDC5L,0.21,0.68,0.94,1.3,1.89,2.45,3.2,7.4285267926886425,7.6706764568036245,9.022027808154975,11.607561318543977,82.83080768629901,90.56397437900328
POLR2I,0.13,0.32,0.78,1.06,1.27,1.44,1.59,11.771700356718192,11.890606420927467,14.863258026159334,18.430439952437574,98.92984542211653,99.28656361474435
RPS7,0.010000000000000002,0.02,0.06,0.76,1.3,1.6,1.9419999999999993,38.95265423242468,40.10043041606887,44.69153515064563,49.85652797704448,95.6958393113343,98.1348637015782
XAB2,0.07,0.16,0.5,1.02,1.27,1.41,1.5299999999999998,18.788109756097562,19.302591463414632,22.446646341463413,26.96265243902439,99.23780487804878,99.77134146341463
RPS19BP1,0.6875,0.835,0.97,1.18,1.42,1.56,1.6825,2.6785714285714284,2.9017857142857144,4.352678571428571,6.975446428571429,97.99107142857143,99.44196428571429
RPL23A,0.01,0.020000000000000004,0.09,0.81,1.2040000000000008,1.4,1.57,35.729499467518636,36.47497337593184,41.267305644302446,46.805111821086264,98.18956336528221,99.04153354632588
SUPT6H,0.27,0.59,0.88,1.17,1.4699999999999998,1.7200000000000002,2.026999999999998,7.576691845228919,8.008324340989672,10.459380299059658,13.742870356096809,94.7047942037922,97.44874364112842
PRPF31,0.09,0.25,0.67,1.05,1.36,1.56,1.8399999999999999,14.468183929400835,15.118439386901997,17.812354853692522,23.409196470041802,96.28425452856479,98.1421272642824
U2AF1,0.05,0.12,0.28,0.99,1.54,1.85,2.32,26.355748373101953,27.657266811279825,31.073752711496745,36.49674620390456,91.43167028199566,96.63774403470715
PSMD7,0.1685000000000001,0.3370000000000002,0.71,1.14,1.57,1.9729999999999994,2.79,12.973137973137973,13.644688644688644,16.666666666666668,21.550671550671552,90.35409035409036,94.26129426129427
Hsp10,0.01,0.03,0.19,1.03,1.41,1.7789999999999997,2.5384999999999978,26.68112798264642,27.54880694143167,30.36876355748373,33.6767895878525,91.86550976138828,94.7939262472885
RPS13,0.02,0.04000000000000001,0.13,0.75,1.1740000000000004,1.4419999999999997,1.6719999999999993,40.18036072144289,41.38276553106213,45.29058116232465,50.701402805611224,97.1943887775551,99.19839679358718
PHB,0.1085000000000001,0.2770000000000002,0.62,1.1,1.4,1.6429999999999993,1.9314999999999984,15.335463258785943,16.13418530351438,19.78168264110756,23.828541001064963,95.4206602768903,98.18956336528221
RPS9,0.02,0.04,0.11,0.72,1.12,1.3,1.43,39.06020558002937,40.602055800293684,46.18208516886931,51.76211453744494,99.85315712187959,99.85315712187959
EIF5B,0.37,0.685,0.94,1.32,1.86,2.34,3.04,6.225889412773253,6.633090441491642,8.48692670381483,11.48735533647664,83.96913844834977,91.60951564509216
RPS6,0.01,0.010000000000000002,0.04,0.39,1.14,1.5720000000000005,2.330999999999999,52.5657071339174,53.191489361702125,57.07133917396746,62.765957446808514,93.74217772215269,96.12015018773467
RPS11,0.01,0.03,0.09,0.73,1.21,1.4049999999999998,1.6,40.66558441558441,42.04545454545455,45.29220779220779,51.0551948051948,97.24025974025975,98.05194805194805
SUPT5H,0.27,0.6,0.88,1.14,1.4,1.59,1.8399999999999999,7.892628205128205,8.306623931623932,10.243055555555555,13.181089743589743,96.70138888888889,98.61111111111111
SNRPD2,0.04,0.1,0.32000000000000006,1.005,1.29,1.45,1.6109999999999993,23.529411764705884,24.11764705882353,28.602941176470587,32.794117647058826,99.11764705882354,99.8529411764706
RPL37,0.03,0.11,0.52,1.14,1.69,2.091000000000001,2.5704999999999996,18.40909090909091,18.993506493506494,21.493506493506494,25.77922077922078,88.76623376623377,94.57792207792208
RPSA,0.01,0.01,0.04,0.445,1.2360000000000002,1.58,1.9,50.17574692442882,50.83479789103691,55.09666080843585,59.09490333919157,95.95782073813709,98.06678383128295
COPS6,0.41999999999999993,0.65,0.84,1.11,1.41,1.65,1.96,5.778894472361809,6.101938262742283,8.542713567839195,13.99856424982053,95.5491744436468,97.48743718592965
DDX51,0.04,0.16,0.68,1.08,1.36,1.54,1.74,15.773681954564937,16.298756965280756,18.345477925417917,21.795970852978996,97.524646378054,99.1213030432919
EIF4A3,0.01,0.03,0.09,0.8,1.25,1.5079999999999996,1.7939999999999987,39.222290263319046,40.232700551132886,43.96815676668708,48.46907532149418,96.57072872014697,99.02020820575628
KARS,0.05,0.13,0.41,1.02,1.4,1.66,2.08,21.332716335030078,22.00370198981953,26.955113373438223,32.39241092086997,94.6321147616844,96.55252198056455
RPL5,0.01,0.03,0.08000000000000002,0.765,1.3820000000000006,1.9,2.4004999999999996,41.55,42.1,45.75,49.45,92.25,95.65
RPL32,0.04,0.1,0.48,1.08,1.4120000000000004,1.6710000000000012,2.01,19.47530864197531,19.969135802469136,22.28395061728395,26.666666666666668,94.81481481481481,97.53086419753086
SF3A1,0.05,0.17,0.66,1.12,1.45,1.7,2.05,16.376442966151437,16.777538642144396,19.105850127176677,22.47114067697124,94.70749364116611,97.04558794756407
RPS3A,0.01,0.02,0.08,0.815,1.37,1.7,1.91,39.3569844789357,39.57871396895787,42.73835920177384,47.11751662971175,96.0088691796009,98.22616407982261
SF3B3,0.05,0.15,0.51,1.09,1.43,1.69,2.0,18.57644265510478,19.376483947558583,22.437287085785073,26.726540724682565,95.0294208733354,97.56890678228554
