gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
CTCFL,0.4,0.65,0.88,1.2,1.64,2.08,2.67,5.7304964539007095,6.25531914893617,8.836879432624114,13.375886524822695,88.93617021276596,94.15602836879432
SAGE1,0.87,0.95,1.06,1.29,1.68,2.08,2.775,0.0,0.0,0.1328462304882099,1.1457987379608103,88.87412819661242,93.77283294586516
TLX1,0.85,0.91,1.0,1.19,1.44,1.64,1.9,0.14450867052023122,0.14450867052023122,0.24084778420038536,1.4932562620423893,95.88150289017341,98.26589595375722
DTX2,0.8199999999999998,0.9,0.98,1.17,1.4,1.58,1.7565000000000008,0.10760401721664276,0.1793400286944046,0.7532281205164992,2.654232424677188,97.70444763271162,99.31850789096126
OR2C3,0.86,0.95,1.04,1.26,1.62,2.02,2.56,0.6639616377720399,0.6639616377720399,0.8852821836960532,1.6599040944300996,89.76392475101439,94.65142014016968
